MorphoName,SpeciesCode,mass.g
Bunched Basil,morph1,0.0217
Bunched Basil,morph1,0.0336
Bunched Basil,morph1,0.0147
Bunched Basil,morph1,0.0577
Bunched Basil,morph1,0.0408
Bunched Basil,morph1,0.1118
Bunched Basil,morph1,0.0553
Bunched Basil,morph1,0.001
Bunched Basil,morph1,0.0536
Bunched Basil,morph1,0.0526
Bunched Basil,morph1,0.0241
Bunched Basil,morph1,0.1431
Bunched Basil,morph1,0.1125
Bunched Basil,morph1,0.0675
Bunched Basil,morph1,0.0476
Bunched Basil,morph1,0.0833
Bunched Basil,morph1,0.0542
Bunched Basil,morph1,0.043
Bunched Basil,morph1,0.0721
Bunched Basil,morph1,0.0438
Bunched Basil,morph1,0.0626
Bunched Basil,morph1,0.0309
Bunched Basil,morph1,0.0264
Bunched Basil,morph1,0.0198
Bunched Basil,morph1,0.0037
Bunched Basil,morph1,0.0111
Bunched Basil,morph1,0.0147
Bunched Basil,morph1,0.0133
Bunched Basil,morph1,0.0201
Bunched Basil,morph1,0.0096
Bunched Basil,morph1,0.0289
Bunched Basil,morph1,0.0339
Bunched Basil,morph1,0.0187
Bunched Basil,morph1,0.0436
Bunched Basil,morph1,0.0291
Bunched Basil,morph1,0.0163
Bunched Basil,morph1,0.0168
Bunched Basil,morph1,0.0107
Bunched Basil,morph1,0.0073
Bunched Basil,morph1,0.054
Bunched Basil,morph1,0.0035
Chimney Brush Grass,morph2,0.0386
Clover,morph3,0.1783
Clover,morph3,0.018
Clover,morph3,0.0269
Clover,morph3,0.0097
Club Leaf,morph4,0.0542
Club Leaf,morph4,0.0372
Club Leaf,morph4,0.0255
Club Leaf,morph4,0.0549
Club Leaf,morph4,0.014
Comb Tree,morph5,7.9
Doily Leaf,morph6,0.0173
Feather Leaf,morph7,0.0502
Feather Leaf,morph7,0.0294
Feather Leaf,morph7,0.3002
Feather Leaf,morph7,0.0049
Feather Leaf,morph7,0.0961
Feather Plant,morph8,0.016
Feather Plant,morph8,0.0077
Feather Plant,morph8,0.024
Feather Plant,morph8,0.0554
Fuzzy Red Rosette,morph9,0.3907
Fuzzy Sheath,morph10,0.0781
Fuzzy Sheath,morph10,0.582
Goldenrod,morph11,0.3774
Goldenrod,morph11,0.4084
Goldenrod,morph11,1.2009
Goldenrod,morph11,0.6081
Goldenrod,morph11,0.4785
Goldenrod,morph11,0.6913
Goldenrod,morph11,0.8597
Goldenrod,morph11,2.6872
Goldenrod,morph11,3.1094
Goldenrod,morph11,0.286
Goldenrod,morph11,5.02
Goldenrod,morph11,0.7027
Goldenrod,morph11,0.3072
Goldenrod,morph11,1.9371
Goldenrod,morph11,0.5934
Goldenrod,morph11,4.79007
Goldenrod,morph11,3.377
Goldenrod,morph11,0.1047
Goldenrod,morph11,0.582
Goldenrod,morph11,0.8705
Goldenrod,morph11,0.6641
Goldenrod,morph11,0.2684
Goldenrod,morph11,1.1974
Goldenrod,morph11,0.1415
Goldenrod,morph11,0.3361
Goldenrod,morph11,0.6627
Goldenrod,morph11,0.1192
Goldenrod,morph11,0.1036
Goldenrod,morph11,1.8136
Goldenrod,morph11,0.9303
Goldenrod,morph11,0.04412
Goldenrod,morph11,1.2445
Goldenrod,morph11,0.0965
Goldenrod,morph11,0.5753
Goldenrod,morph11,2.1516
Goldenrod,morph11,2.6245
Goldenrod,morph11,6.3622
Goldenrod,morph11,0.2278
Goldenrod,morph11,0.0646
Goldenrod,morph11,0.241
Goldenrod,morph11,0.3419
Goldenrod,morph11,0.4597
Goldenrod,morph11,0.1724
Goldenrod,morph11,0.3183
Goldenrod,morph11,0.6048
Goldenrod,morph11,0.6451
Goldenrod,morph11,0.2355
Goldenrod,morph11,0.0173
Hairy Grass,morph12,0.0104
Hairy Grass,morph12,0.0958
Hairy Grass,morph12,0.222
Horsetail,morph13,2.0035
Horsetail,morph13,1.4
Horsetail,morph13,0.9396
Horsetail,morph13,0.7601
Horsetail,morph13,0.3306
Horsetail,morph13,0.1764
Horsetail,morph13,0.6896
Horsetail,morph13,0.5172
Horsetail,morph13,0.7
Horsetail,morph13,0.0585
Horsetail,morph13,0.0957
Mini Rod,morph14,0.381
Mini Rod,morph14,1.6
Mini Rod,morph14,0.4
Mini Rod,morph14,0.2752
Mini Rod,morph14,0.3475
Mini Rod,morph14,0.1675
Mini Rod,morph14,0.2815
Mini Rod,morph14,0.0817
Mini Rod,morph14,0.9815
Mini Rod,morph14,0.1349
Mini Rod,morph14,0.5123
Mini Rod,morph14,0.4282
Mini Rod,morph14,0.532
Mini Rod,morph14,0.2047
Mini Rod,morph14,0.6553
Mini Rod,morph14,0.3195
Mini Rod,morph14,0.468
Mini Rod,morph14,0.7272
Mini Rod,morph14,0.7435
Mini Rod,morph14,0.6579
Mini Rod,morph14,0.3163
Mini Rod,morph14,0.1853
Mini Rod,morph14,0.0655
Mini Rod,morph14,0.5738
Mini Rod,morph14,0.1807
Mini Rod,morph14,0.2
Mini Rod,morph14,0.1192
Mini Rod,morph14,0.1207
Mini Rod,morph14,0.7927
Mini Rod,morph14,0.1085
Mini Rod,morph14,0.0908
Mini Rod,morph14,0.1935
Mini Rod,morph14,0.0663
Mini Rod,morph14,0.6427
Mini Rod,morph14,0.4154
Mini Rod,morph14,0.2199
Mini Rod,morph14,0.1658
Mini Rod,morph14,0.278
Mini Rod,morph14,0.4237
Mini Rod,morph14,0.1403
Mini Rod,morph14,0.1698
Mini Rod,morph14,0.9613
Mini Rod,morph14,0.0926
Mini Rod,morph14,0.2455
Mini Rod,morph14,0.1052
Mini Rod,morph14,0.1595
Mini Rod,morph14,0.241
Mini Rod,morph14,0.1735
Mini Rod,morph14,0.2773
Mini Rod,morph14,0.4016
Mini Rod,morph14,0.1065
Opposite 3-Leaflet,morph15,16.5
Opposite 3-Leaflet,morph15,0.2451
Opposite Ovate Leaflet,morph16,0.3932
Purple Disc,morph17,0.6379
Purple Disc,morph17,1.3
Purple Disc,morph17,0.077
Red Spade,morph18,0.3625
Red Spade,morph18,0.0931
Red Spade,morph18,0.0684
Red Spade,morph18,0.1354
Red Spade,morph18,0.1534
Rough Edge Grass,morph19,2.8
Rough Edge Grass,morph19,7.7
Rough Notched Rosette,morph20,0.0795
Sandy Split Leaf,morph21,0.1291
Sandy Split Leaf,morph21,0.2117
Sandy Split Leaf,morph21,0.2565
Sandy Split Leaf,morph21,0.006
Serrated Tongue,morph22,0.0208
Serrated Tongue,morph22,0.0195
Serrated Tongue,morph22,0.2467
Serrated Tongue,morph22,0.0245
Serrated Tongue,morph22,0.0446
Serrated Tongue,morph22,0.0296
Spade Leaf,morph23,0.0573
Spade Leaf,morph23,0.2178
Spade Leaf,morph23,0.0595
Spade Leaf,morph23,0.316
Spade Leaf,morph23,0.2486
Spade Leaf,morph23,0.1074
Spade Leaf,morph23,0.0152
Spade Leaf,morph23,0.0139
Spade Leaf,morph23,0.0655
Spade Leaf,morph23,0.2783
Spade Leaf,morph23,0.0325
Spade Leaf,morph23,0.2606
Spade Leaf,morph23,0.0458
Spade Leaf,morph23,0.1345
Spade Leaf,morph23,0.1943
Spade Leaf,morph23,0.1159
Spade Leaf,morph23,0.0785
Spade Leaf,morph23,0.0412
Spade Leaf,morph23,0.1075
Spade Leaf,morph23,0.0795
Spade Leaf,morph23,0.1072
Spade Leaf,morph23,0.1263
Spade Leaf,morph23,0.0172
Spade Leaf,morph23,0.0145
Spade Leaf,morph23,0.0192
Spade Leaf,morph23,0.0173
Spade Leaf,morph23,0.0097
Twisted Flower,morph24,0.0837
Woody Serrated Leaf,morph25,2.1
Woody Serrated Leaf,morph25,8.7
Woody Serrated Leaf,morph25,0.0375
Woody Serrated Leaf,morph25,16.9
Woody Serrated Leaf,morph25,0.066
Woody Serrated Leaf,morph25,0.5673
Woody Serrated Leaf,morph25,0.0191
Woody Serrated Leaf,morph25,0.0228
Woody Tri Leaf,morph26,0.7459
Woody Tri Leaf,morph26,1.2046
Woody Tri Leaf,morph26,0.7078
Woody Tri Leaf,morph26,0.5938
Woody Tri Leaf,morph26,0.4652
Yellow-centered Lavender Flower,morph27,0.7651